Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,RVMAGD7,438.575000,-,7.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
2,DOBRA70,438.900000,-,7.600000,TSQL,88.5,88.5,023,NN,FM,5.00,,,,,,
3,GERLI70,439.050000,-,7.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
4,MAGDA2M,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
5,GOLDE2M,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
6,STRUS70,439.325000,-,7.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
7,GOLDE70,439.000000,-,7.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
8,I*LUS70,430.350000,+,1.600000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
10,LIENZ2M,145.700000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
12,S*KRGO2,145.675000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
13,OE8XFQ,1298.150000,,0.600000,,88.5,88.5,023,NN,FM,12.50,,,,,,
14,S20*2M,145.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,S21*2M*,145.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,S22*2M,145.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
